图像路径,标注类别ID,标注类别名称,top-1-预测ID,top-1-预测名称,top-2-预测ID,top-2-预测名称,top-3-预测ID,top-3-预测名称,top-n预测正确,Citizen Park-预测置信度,Group photo-预测置信度,airport-预测置信度,ancient temple-预测置信度,art gallery-预测置信度,backpacker-预测置信度,beach-预测置信度,botanical garden-预测置信度,bridge-预测置信度,cable car-预测置信度,camping-预测置信度,canyon-预测置信度,castle-预测置信度,cave-预测置信度,church-预测置信度,city walk-预测置信度,cliff-预测置信度,concert hall-预测置信度,couple-预测置信度,desert-预测置信度,dining-预测置信度,entertainment district-预测置信度,exhibition hall-预测置信度,family with kids-预测置信度,forest-预测置信度,fountain-预测置信度,glacier-预测置信度,harbor-预测置信度,hiking-预测置信度,island-预测置信度,lake-预测置信度,library-预测置信度,monument-预测置信度,mountain-预测置信度,museum-预测置信度,nightclub-预测置信度,ocean-预测置信度,opera house-预测置信度,picnic-预测置信度,railway-预测置信度,reef-预测置信度,river-预测置信度,selfie-预测置信度,senior traveler-预测置信度,shopping mall-预测置信度,skiing-预测置信度,solo traveler-预测置信度,souvenir shop-预测置信度,sunbathing-预测置信度,temple-预测置信度,theater-预测置信度,tour group-预测置信度,train-预测置信度,valley-预测置信度,volcano-预测置信度,waterfall-预测置信度,zoo-预测置信度
<DATA_ROOT>/tourism_pic/test/Citizen Park/215b4440641d26452fe8a7973d412d29.jpg,0,Citizen Park,0,Citizen Park,38,picnic,21,entertainment district,True,0.8904347,0.009451682,1.5714748e-05,2.0331103e-05,7.4272044e-05,3.1451793e-05,5.8736434e-05,0.0040557235,0.0001442143,1.7903676e-05,0.00011429655,2.4330277e-06,1.5644991e-05,4.50721e-06,0.00016498368,0.0002879796,2.6824325e-06,0.00073537044,0.00038116696,1.2200674e-06,0.00091435807,0.02334816,3.522739e-05,0.0001452819,0.00019794983,0.008816425,5.7625443e-06,0.008266687,1.6845473e-06,0.00032779836,0.00045170085,0.00020875313,0.0055191563,1.832818e-05,0.00028100074,2.4100671e-05,7.3656147e-06,7.1446004e-05,0.03869521,4.655318e-05,8.392418e-05,0.0001860709,5.388516e-06,1.6185426e-05,7.2125404e-05,5.221138e-07,3.987118e-05,6.9063964e-05,0.00014143571,0.00014082146,0.0013431697,0.0024771532,5.7763962e-05,0.0008255937,7.539185e-06,1.1712284e-05,0.0011236267
<DATA_ROOT>/tourism_pic/test/Citizen Park/00a25c06b8f0ddee0f32fdc267aa6869.jpg,0,Citizen Park,21,entertainment district,44,shopping mall,15,city walk,False,0.02902281,0.0020351342,0.00062457484,5.1246425e-05,0.00039536037,0.0003665854,0.0002905194,2.0953772e-05,0.00077564176,0.0013450774,0.00010168502,8.750203e-05,0.0002178807,4.3381384e-05,0.000692512,0.044132024,6.4321815e-05,0.00039403356,0.0004944103,1.672243e-05,0.00028052262,0.77657706,0.00010763179,0.00019707117,0.00059931574,0.00077700254,0.0001003943,0.0039568576,5.0690658e-05,0.00035877846,0.0005270434,0.00016005646,0.009753666,0.002380198,0.0006801248,0.0003978006,0.00010704208,0.00015513146,0.0008280399,0.0022302645,6.668991e-05,0.00087594165,0.0012927344,0.00027533906,0.061486192,0.00012360081,0.002011267,0.00459793,0.0005003327,0.00037587076,0.00255245,0.0017686681,0.0020935778,0.039786477,5.262295e-05,0.000119736564,0.0006234763
<DATA_ROOT>/tourism_pic/test/Citizen Park/7d92a2f9ba80ec4b90ba067c253286f7.jpg,0,Citizen Park,43,senior traveler,7,botanical garden,0,Citizen Park,True,0.12299798,0.006999847,5.036543e-05,0.00029263014,0.0050951936,0.00083172775,2.9536137e-05,0.13823365,0.00036617197,0.0014068434,0.0007236893,4.0448886e-05,0.00010722585,2.8347473e-05,0.0025325716,0.0004762111,1.2006659e-05,0.0009421924,0.018208971,5.4912907e-06,0.002644819,0.027283907,0.00030221246,0.0073165493,0.0012818228,0.0032434186,2.2654576e-06,0.0001061244,4.9372386e-05,0.00017384652,0.00014956793,0.04821165,0.0026134127,1.8693541e-05,0.016295446,1.8864373e-05,7.1870795e-07,0.0017279864,0.102876715,0.0002947411,1.4625353e-05,0.0012949007,0.00023933688,0.32315907,0.0016424622,7.144294e-07,0.033626672,0.00033335504,0.08226911,0.00029713663,0.0027372977,0.03723248,0.00012564327,0.000988372,2.906468e-06,1.6105652e-05,0.0020265733
<DATA_ROOT>/tourism_pic/test/Citizen Park/d0a48380bec4826e98acf357a9497c14.jpg,0,Citizen Park,0,Citizen Park,21,entertainment district,53,valley,True,0.8085445,0.0006044699,0.00015251362,0.00041815665,0.0003263646,1.29690225e-05,1.60061e-05,0.00026746353,0.0017819711,0.0001574028,6.884779e-05,0.0007090801,0.0048872293,0.00022922095,0.0015279409,0.0013004148,0.00016397846,0.00081210886,3.756503e-05,3.630408e-05,2.486117e-05,0.109579764,0.001021196,6.269356e-05,0.0001566055,0.00019902077,4.1706057e-06,0.0070064426,3.2635384e-05,0.000411275,7.3312345e-05,0.00014217393,0.002430746,0.00024148161,0.0050365604,0.00016193333,1.5416525e-05,0.0016162052,0.00085488654,0.00012094808,1.932952e-05,0.0024461548,0.0002294703,8.866434e-06,0.000468963,4.3781517e-07,1.944836e-05,0.00073756854,0.00047598215,0.0024721208,0.00067590474,0.00092605565,0.0002307233,0.038737506,1.8334975e-05,5.439918e-05,0.0012318634
<DATA_ROOT>/tourism_pic/test/Citizen Park/cb851e91115299511a7c0ec2dee56ca1.jpg,0,Citizen Park,0,Citizen Park,53,valley,21,entertainment district,True,0.97591144,0.00019292974,2.4222327e-05,0.000120159406,0.000101137855,7.100444e-06,9.826189e-06,9.819244e-05,0.00039007387,5.842345e-05,3.372498e-05,0.00045424988,0.00062674587,0.00052317756,0.00013474499,0.0008465359,0.00038064338,0.00017312508,4.0601415e-05,7.299579e-06,9.84171e-06,0.0030516225,0.00015577434,5.0802082e-05,0.00016729065,0.00021698192,2.3597939e-05,0.00079185644,1.0017871e-05,0.0001507174,0.00017655063,4.9076207e-05,0.0014977579,0.0013794492,0.00042547504,0.0007317694,6.769778e-05,0.00094447995,0.00056178134,5.1474162e-05,3.126207e-05,0.0011650164,2.2144737e-05,2.8964669e-06,1.4907182e-05,1.5745796e-07,2.6730917e-05,0.00019909917,3.8925093e-05,0.0005760324,0.00030637925,0.00042940385,0.0003217031,0.004777,9.973536e-06,8.939628e-05,0.0013406163
<DATA_ROOT>/tourism_pic/test/Citizen Park/46d834eda2efa68c61753a6ab757fca6.jpg,0,Citizen Park,0,Citizen Park,32,monument,21,entertainment district,True,0.99951017,4.9489263e-06,8.8450086e-08,2.8416255e-06,1.8653831e-06,9.3911964e-08,2.8096463e-07,9.717595e-06,8.864356e-06,9.548438e-07,4.001795e-07,2.0565027e-07,4.8636216e-06,6.3300536e-07,2.522612e-06,2.663614e-06,1.1068717e-06,1.3412704e-06,5.562861e-07,2.671611e-07,1.8934534e-07,6.143349e-05,4.921015e-07,1.3648748e-06,4.659159e-07,1.41945175e-05,2.6042672e-08,1.1758515e-05,8.180982e-08,1.7716592e-06,2.1235502e-07,5.1042474e-07,0.00025908704,1.0472097e-06,6.4401615e-06,4.8459583e-06,2.0179095e-07,3.1749155e-06,1.0446318e-05,3.5478934e-07,1.5145504e-07,6.0407933e-06,2.0122163e-06,1.5995484e-07,3.0428578e-07,3.2091234e-09,5.6478957e-08,4.5976835e-06,8.024665e-07,3.149406e-06,4.2943866e-06,4.990363e-06,3.8013588e-06,4.897398e-06,3.7373773e-08,8.116726e-07,3.135622e-05
<DATA_ROOT>/tourism_pic/test/Citizen Park/12da710b06285a912840875947cbf8dc.jpg,0,Citizen Park,0,Citizen Park,32,monument,56,zoo,True,0.9830215,0.00019838382,2.4750984e-06,2.6287715e-05,0.00046903314,1.0551425e-05,1.3173837e-06,2.2875172e-05,2.8902592e-05,6.470719e-06,4.198344e-06,9.6920885e-05,2.7839735e-05,6.918371e-05,1.1608271e-05,0.00028547115,3.6504014e-05,1.8247247e-05,2.6723517e-05,2.0707396e-06,2.0690636e-06,0.00035107258,5.635909e-05,2.9229903e-05,8.8740035e-06,0.00036208626,3.2783817e-06,0.00022505573,8.407849e-07,6.6087964e-06,4.1496255e-06,2.179112e-05,0.009039682,7.35692e-06,0.00079092046,1.7450926e-05,4.773116e-06,1.2575318e-05,7.502484e-05,3.429344e-06,2.7459475e-05,0.0007295785,0.00013196118,2.902447e-06,6.463093e-07,2.6437542e-08,6.4535125e-06,0.00011602301,4.8416307e-05,6.0247483e-05,3.296259e-05,0.0013204712,0.00010718163,3.0186993e-05,1.6891651e-06,1.5165893e-05,0.001979398
<DATA_ROOT>/tourism_pic/test/Citizen Park/f1f47c1f6ead53ef1caa21584ec48a9f.jpg,0,Citizen Park,0,Citizen Park,53,valley,38,picnic,True,0.9638666,0.00026722156,1.8698238e-05,0.0004905526,0.00025449917,5.371561e-06,5.798755e-06,0.00011235881,0.0003352777,6.4105596e-05,0.00010612728,0.0008772911,0.0005112257,0.00066689635,0.0002195021,0.00046944845,0.00011406803,0.00018090809,4.4411212e-05,2.5529933e-05,9.5625655e-06,0.0018272533,0.0001863441,6.1855164e-05,0.0007606468,0.00023779919,9.3382914e-05,0.00016970835,1.4392945e-05,0.00010839976,0.000414777,0.0001503309,0.0006242785,0.002094233,0.0008414504,0.00047687124,5.677957e-05,0.0010515433,0.0031830778,7.123479e-05,2.3090694e-05,0.0025857715,5.8064725e-05,4.083574e-06,1.7733044e-05,4.5078673e-07,3.90553e-05,0.00028327986,0.00023567199,0.0012070911,0.0010118535,0.0008411455,0.0007160542,0.010035719,2.6615955e-05,0.00020801077,0.0016364747
<DATA_ROOT>/tourism_pic/test/Citizen Park/aaba13a3535883894f0be7b61d736a28.jpg,0,Citizen Park,0,Citizen Park,38,picnic,7,botanical garden,True,0.98937184,7.7207325e-05,2.8922127e-06,5.03613e-06,9.54095e-06,3.8184526e-06,2.0291576e-05,0.0019266356,1.2459537e-05,1.5922159e-06,0.00040499028,1.2680803e-05,3.011399e-05,1.1805344e-05,1.9672972e-05,5.136284e-05,1.5419604e-06,1.1618329e-05,8.303847e-06,1.123871e-06,1.9988725e-05,0.00025819213,1.6597696e-05,0.00092371367,0.0001418651,3.5427398e-05,1.1477108e-06,2.4131408e-05,1.6528675e-06,1.8641687e-05,1.5696574e-05,7.1364425e-06,7.333611e-05,1.7256863e-05,2.1622407e-05,2.2420858e-05,1.9008213e-06,6.2389364e-07,0.005578319,1.4258477e-06,5.8291957e-06,1.1491187e-05,1.19741435e-05,3.5588207e-07,2.1561807e-05,1.5767327e-07,3.1749025e-06,4.097786e-06,6.4072534e-05,1.5178265e-05,7.700037e-06,7.712269e-05,5.0873514e-06,4.247288e-05,1.8247587e-06,1.1623432e-06,0.0005610745
<DATA_ROOT>/tourism_pic/test/Citizen Park/747aae99f8fa865974924397d50138b4.jpg,0,Citizen Park,35,nightclub,15,city walk,21,entertainment district,False,0.07842895,0.0015978292,0.00025657617,0.00014020385,0.0015252671,0.00036838112,7.916541e-05,0.007616321,0.0003282786,0.0012634253,5.4792363e-05,0.00017806613,0.0002909003,0.006091691,0.00013713667,0.08523845,8.34408e-05,0.00022599149,0.0004448129,0.00076965766,0.058978457,0.08137762,0.0013660833,0.00011325352,0.00122937,0.0019797094,4.7080746e-05,0.0011688654,8.093392e-07,0.00142326,2.425868e-05,0.00014482059,0.00039210674,0.00017242556,0.0006333918,0.63785183,0.00022953324,0.0010681645,0.0017818513,0.0001711632,0.0013992101,0.00082401827,0.00037142192,3.3538618e-05,0.007312037,1.3477622e-05,0.0022830686,0.0034602326,1.6277143e-05,0.00039314543,0.00056565774,0.0012527496,0.00012913684,0.0013164936,0.0006465314,0.00019458788,0.004515043
